ImageId,Label
1,2
2,7
3,9
4,6
5,6
6,7
7,3
8,8
9,5
10,5
11,5
12,7
13,5
14,2
15,2
16,5
17,1
18,1
19,9
20,5
21,2
22,1
23,1
24,1
25,7
26,6
27,9
28,3
29,9
30,7
31,7
32,1
33,3
34,1
35,6
36,7
37,7
38,1
39,6
40,5
41,7
42,7
43,9
44,5
45,5
46,4
47,3
48,5
49,1
50,1
51,7
52,5
53,1
54,5
55,9
56,1
57,1
58,7
59,1
60,6
61,5
62,1
63,7
64,1
65,7
66,3
67,1
68,5
69,3
70,1
71,6
72,7
73,5
74,5
75,7
76,5
77,1
78,6
79,1
80,6
81,7
82,7
83,1
84,5
85,7
86,1
87,9
88,7
89,5
90,7
91,9
92,3
93,6
94,1
95,1
96,7
97,2
98,9
99,7
100,7
101,5
102,5
103,1
104,7
105,9
106,8
107,5
108,3
109,3
110,3
111,6
112,7
113,6
114,9
115,1
116,5
117,1
118,1
119,1
120,5
121,4
122,7
123,1
124,1
125,1
126,6
127,8
128,7
129,1
130,9
131,6
132,9
133,1
134,7
135,7
136,1
137,8
138,1
139,3
140,2
141,3
142,1
143,7
144,7
145,1
146,8
147,7
148,3
149,1
150,1
151,8
152,6
153,8
154,6
155,8
156,1
157,6
158,1
159,7
160,9
161,5
162,3
163,7
164,5
165,1
166,9
167,1
168,6
169,1
170,3
171,5
172,7
173,7
174,6
175,1
176,1
177,7
178,5
179,1
180,8
181,7
182,7
183,5
184,7
185,9
186,6
187,6
188,1
189,1
190,5
191,7
192,1
193,2
194,5
195,9
196,2
197,6
198,7
199,6
200,6
201,1
202,6
203,5
204,1
205,2
206,2
207,9
208,9
209,1
210,6
211,7
212,7
213,7
214,1
215,1
216,7
217,1
218,1
219,8
220,9
221,9
222,3
223,1
224,2
225,6
226,1
227,1
228,8
229,1
230,5
231,7
232,3
233,5
234,1
235,7
236,7
237,3
238,3
239,5
240,7
241,5
242,1
243,6
244,1
245,3
246,8
247,1
248,7
249,5
250,4
251,3
252,7
253,1
254,3
255,8
256,2
257,9
258,1
259,2
260,5
261,7
262,1
263,5
264,4
265,7
266,5
267,6
268,5
269,1
270,1
271,1
272,5
273,6
274,3
275,9
276,5
277,1
278,6
279,5
280,7
281,7
282,3
283,1
284,7
285,5
286,5
287,6
288,1
289,5
290,5
291,5
292,7
293,7
294,9
295,7
296,1
297,5
298,5
299,5
300,5
301,1
302,9
303,8
304,7
305,1
306,7
307,3
308,1
309,9
310,3
311,9
312,1
313,9
314,3
315,1
316,8
317,7
318,9
319,1
320,1
321,5
322,1
323,1
324,6
325,5
326,5
327,1
328,1
329,5
330,7
331,1
332,8
333,1
334,8
335,3
336,1
337,7
338,1
339,6
340,5
341,1
342,7
343,1
344,5
345,4
346,3
347,1
348,8
349,1
350,7
351,7
352,7
353,7
354,7
355,7
356,7
357,5
358,5
359,4
360,1
361,6
362,1
363,4
364,5
365,9
366,2
367,1
368,3
369,1
370,7
371,1
372,3
373,6
374,7
375,7
376,1
377,6
378,5
379,5
380,1
381,7
382,1
383,5
384,1
385,1
386,1
387,1
388,1
389,3
390,7
391,1
392,7
393,7
394,7
395,9
396,6
397,1
398,1
399,7
400,7
401,6
402,7
403,6
404,1
405,1
406,1
407,8
408,8
409,5
410,5
411,5
412,5
413,9
414,1
415,1
416,6
417,1
418,1
419,8
420,9
421,5
422,8
423,7
424,7
425,8
426,1
427,9
428,7
429,7
430,7
431,3
432,9
433,8
434,1
435,7
436,1
437,5
438,5
439,5
440,7
441,1
442,4
443,4
444,9
445,6
446,9
447,1
448,1
449,5
450,6
451,1
452,7
453,7
454,9
455,1
456,4
457,1
458,5
459,1
460,1
461,1
462,7
463,5
464,9
465,7
466,1
467,7
468,9
469,7
470,1
471,1
472,9
473,7
474,5
475,1
476,7
477,1
478,8
479,4
480,3
481,7
482,2
483,1
484,1
485,6
486,7
487,3
488,6
489,5
490,7
491,7
492,5
493,5
494,5
495,1
496,3
497,7
498,6
499,6
500,5
501,7
502,3
503,9
504,7
505,1
506,1
507,5
508,5
509,6
510,1
511,7
512,5
513,7
514,1
515,5
516,9
517,1
518,7
519,9
520,1
521,6
522,2
523,3
524,7
525,1
526,1
527,7
528,1
529,1
530,7
531,7
532,2
533,7
534,7
535,1
536,6
537,6
538,5
539,7
540,8
541,2
542,1
543,5
544,6
545,3
546,7
547,2
548,5
549,1
550,1
551,1
552,5
553,3
554,5
555,8
556,7
557,7
558,9
559,1
560,9
561,6
562,5
563,1
564,1
565,6
566,5
567,1
568,1
569,1
570,5
571,7
572,8
573,2
574,5
575,7
576,3
577,1
578,1
579,9
580,5
581,5
582,1
583,7
584,1
585,9
586,1
587,7
588,6
589,5
590,8
591,9
592,3
